ttwa,Region / Nation,All creative industries: Employment 2011-2014,not_creative: Employment 2011-2014,Advertising and marketing: Employment 2011-2014,Architecture: Employment 2011-2014,"Design: product, graphic and fashion design: Employment 2011-2014","Film, TV, video, radio and photography: Employment 2011-2014","IT, software and computer services: Employment 2011-2014","Music, performing and visual arts: Employment 2011-2014",Publishing: Employment 2011-2014,total_employment,Advertising and marketing: Employment 2011-2014_share,Architecture: Employment 2011-2014_share,"Design: product, graphic and fashion design: Employment 2011-2014_share","Film, TV, video, radio and photography: Employment 2011-2014_share","IT, software and computer services: Employment 2011-2014_share","Music, performing and visual arts: Employment 2011-2014_share",Publishing: Employment 2011-2014_share,Advertising and marketing: Employment 2011-2014_LQ,Architecture: Employment 2011-2014_LQ,"Design: product, graphic and fashion design: Employment 2011-2014_LQ","Film, TV, video, radio and photography: Employment 2011-2014_LQ","IT, software and computer services: Employment 2011-2014_LQ","Music, performing and visual arts: Employment 2011-2014_LQ",Publishing: Employment 2011-2014_LQ,creative_share,creative_LQ,creative_group
Aberystwyth,Wales,376.0,19789.47368,30.5,29.5,8.25,21.5,96.25,63.25,126.75,20165.47368,0.0015124861673965896,0.001462896456990144,0.00040911511085317586,0.0010661787737385796,0.004773009626620385,0.003136549183207682,0.006285495794016975,0.32687042427920415,0.7287323000512123,0.2385549755126998,0.19196141257487964,0.32447092169876995,0.8782197053347226,1.297171202161875,0.01864573111282353,0.503494642714227,False
Andover,South East,975.25,27864.28571,76.25,31.75,78.0,92.25,352.0,61.75,283.25,28839.53571,0.0026439399290870205,0.001100919249160825,0.002704620517623444,0.0031987338814200347,0.012205466951326311,0.0021411579097852266,0.00982158668739539,0.5713941621542079,0.5484157219590742,1.5770639221985552,0.5759198076842174,0.8297320603279192,0.5995146126430704,2.026933089757683,0.03381642512579825,0.9131521195688789,False
Ashford,South East,1467.75,41935.71429,103.75,67.75,84.0,74.5,901.75,141.75,94.25,43403.46429,0.002390362191063712,0.0015609353103090747,0.0019353293884274876,0.0017164528504505694,0.020775991381124844,0.003265868342971385,0.002171485653086794,0.5165922971175766,0.7775697134799667,1.1284903505581274,0.3090407743115129,1.4123594126108039,0.9144284901323093,0.4481410452574164,0.033816425117433865,0.9131521193430135,False
Banbury,South East,1745.5,37945.65217,199.25,137.75,134.5,198.5,885.25,139.0,51.25,39691.15217,0.0050200104836110124,0.0034705467709782536,0.003388664542261888,0.005001114584676467,0.02230345937574228,0.003502039935869163,0.0012912197605272993,1.0848978271903265,1.7288301702868434,1.975929916678519,0.9004315634206372,1.5161972396528212,0.9805554770240004,0.2664758905117234,0.04397705545366636,1.1875217812209717,True
Bangor and Holyhead,Wales,866.5,37673.91304,12.0,55.75,30.25,269.0,305.25,151.0,43.25,38540.41304,0.00031136147885975015,0.0014465335372025893,0.0007848903946256203,0.0069796864844394,0.007920257618494896,0.003917965275651856,0.0011221986633903496,0.06728977817646419,0.7205812186022409,0.4576695015727861,1.256665870569377,0.5384219791285866,1.097012706931565,0.23159410760248106,0.022482893452664462,0.607110353444174,False
Barnsley,Yorkshire and The Humber,1233.0,61650.0,123.5,43.75,70.25,134.0,465.75,107.0,288.75,62883.0,0.001963964823561217,0.0006957365265652084,0.0011171540797989918,0.002130941589936867,0.007406612279948476,0.0017015727621137668,0.004591861075330376,0.4244415777050596,0.3465765993286027,0.6514124193423015,0.383667887407351,0.5035041831336009,0.47643274262987884,0.9476467961232937,0.0196078431372549,0.5294747583268016,False
Barnstaple,South West,1089.5,37568.96552,550.5,70.5,51.5,49.0,150.75,185.0,32.25,38658.46552,0.014240089268809654,0.0018236626584034162,0.001332179105074836,0.00126751021647897,0.003899533982330709,0.004785497756094071,0.0008342286628866691,3.077491960856428,0.9084456232193768,0.776793487600388,0.22821036921904939,0.26509173130212776,1.3399179109759345,0.17216420676705518,0.028182701650078325,0.7610234864037502,False
Barrow-in-Furness,North West,593.25,20456.89655,37.75,28.0,38.0,23.25,136.75,70.0,259.5,21050.14655,0.00179333668344461,0.0013301570102370616,0.0018052130853217266,0.0011045053745718457,0.006496391826782792,0.003325392525592654,0.012327705148447053,0.3875663362938352,0.6626090130081083,1.0526195487281322,0.19886197054542434,0.4416270673321684,0.9310949943280064,2.544134087645054,0.028182701654397745,0.7610234865203884,False
Basingstoke,South East,7534.5,171238.6364,312.5,265.0,245.75,205.0,4239.25,353.25,1913.75,178773.1364,0.0017480254936110189,0.001482325618582144,0.0013746472481757054,0.0011467047238088285,0.02371301463612964,0.001975968017977896,0.01070490812287388,0.3777739241946256,0.7384108097962805,0.8015566571063258,0.2064598020618658,1.612019316351015,0.553262183736808,2.209228833149265,0.04214559386115911,1.1380664343330142,True
Bath,South West,4704.25,138360.2941,351.0,496.0,337.75,164.25,1308.25,657.25,1389.75,143064.5441,0.0024534380772545305,0.0034669666276873137,0.00236082253730119,0.0011480832028178253,0.009144473973128888,0.004594080274289289,0.009714146916992832,0.5302239204179525,1.7270467453270977,1.3765953582140666,0.20670799193798195,0.6216446499422762,1.2863218744889213,2.004760172823152,0.032882011609471865,0.8879199526614341,False
Bedford,East of England,2544.25,97855.76923,342.75,317.0,209.25,231.5,1127.5,223.75,92.5,100400.01923,0.003413843967647216,0.0031573699131850256,0.002084162947425762,0.0023057764507960045,0.011230077530334752,0.002228585230520976,0.0009213145645729175,0.7377817068228768,1.5728231673223074,1.2152751822116408,0.4151462357711702,0.7634247345100046,0.6239938703782328,0.1901365875439592,0.02534113060448265,0.6842919391293547,False
Berwick,North East,164.0,13666.66667,7.5,30.5,9.75,13.0,54.0,37.75,11.5,13830.66667,0.0005422732091626643,0.002205244383928168,0.0007049551719114636,0.0009399402292152848,0.003904367105971183,0.002729441819452077,0.0008314855873827519,0.11719318680404706,1.0985280635523609,0.41105928212278553,0.16923264520023457,0.26542028879624263,0.7642314691702238,0.1715981036837592,0.011857707507023592,0.32019619764615204,False
Bideford,South West,236.75,12460.52632,26.75,46.75,16.25,4.75,50.75,50.75,40.75,12697.27632,0.0021067510327285686,0.0036818919917779654,0.001279802029227635,0.0003740959777742318,0.003996920183587845,0.003996920183587845,0.0032093497040631466,0.4552997698510995,1.8341104094468201,0.7462524205151393,0.06735455075729183,0.27171208050620405,1.119119727077623,0.6623305702853529,0.018645731102747237,0.5034946424421346,False
Birkenhead,North West,1655.5,71978.26087,170.25,116.75,111.25,120.5,807.0,143.75,186.0,73633.76087,0.0023121187616720468,0.0015855498703389807,0.0015108558721645532,0.0016364775963669993,0.010959646641229613,0.001952229497740715,0.0025260152109897248,0.4996827454710077,0.7898312955349589,0.8809798905638144,0.2946415355318059,0.7450407448037251,0.5466155045266133,0.5213071960111274,0.022482893450502632,0.6071103533857977,False
Birmingham,West Midlands,15881.0,721863.6364,1945.25,1338.0,925.0,798.0,8441.75,1732.75,700.25,737744.6364,0.002636752480495567,0.001813635686365798,0.001253821382577252,0.0010816750954558347,0.011442645033915153,0.0023487124331467387,0.0009491766736753738,0.5698408491909447,0.9034507526934364,0.7311031083507432,0.1947514660629342,0.7778751503284148,0.6576289483988463,0.1958866392095098,0.021526418785631718,0.5812824645923577,False
Blackburn,North West,1595.25,106350.0,351.25,87.75,208.5,165.25,644.25,114.0,24.25,107945.25,0.0032539643939867666,0.0008129121012735623,0.0019315347363594044,0.0015308686579539165,0.005968303376017009,0.0010560909349878757,0.00022465092257417532,0.7032293881289986,0.40494684532860153,1.1262776893604194,0.27562704987737696,0.40572742334176304,0.29570072572023565,0.04636240590276185,0.014778325123152709,0.39906225627586517,False
Blackpool,North West,1899.5,94975.0,640.5,58.0,83.25,94.5,603.75,253.25,166.25,96874.5,0.0066116470278556275,0.000598712767549768,0.0008593592741123825,0.000975488905749191,0.006232290231175387,0.002614207041068599,0.001716137889743947,1.4288738077515466,0.2982448484865725,0.5010922968965166,0.17563304851973388,0.4236733452883419,0.7319662479972041,0.3541685051533562,0.0196078431372549,0.5294747583268016,False
Blandford Forum and Gillingham,South West,631.75,22562.5,34.25,71.5,56.75,53.0,264.5,100.25,51.5,23194.25,0.0014766590857647908,0.00308266057320241,0.002446727098311004,0.002285049096219968,0.011403688414154371,0.004322191922567015,0.002220377895383554,0.31912766693959205,1.535607198344671,1.4266862981585458,0.4114143548133413,0.7752268652192562,1.2101943552994134,0.45823119737824786,0.027237354085603113,0.7354960650687477,False
Blyth and Ashington,North East,593.5,45653.84615,43.25,30.25,54.25,48.75,326.5,71.75,18.75,46247.34615,0.0009351887967738016,0.0006540915861828323,0.0011730402826584678,0.0010541145397161347,0.0070598645583039585,0.0015514403738386188,0.00040542866912159027,0.202108002950388,0.3258314447106303,0.6839996579970592,0.18978929335657838,0.479932147533369,0.4343963471867316,0.08367047108932042,0.012833168806595404,0.3465367865743966,False
Boston,East Midlands,238.75,26527.77778,13.5,46.75,9.5,14.25,43.0,78.25,33.5,26766.52778,0.0005043612720693352,0.0017465844051289942,0.0003549208951599026,0.0005323813427398538,0.0016064840517764011,0.0029234273732907765,0.0012515631566164987,0.10899986164837071,0.8700495955824202,0.2069543343858593,0.09585322564854538,0.10920936720241836,0.8185465543101259,0.258291746212781,0.008919722496781761,0.24086116357960854,False
Bournemouth,South West,3910.0,130333.3333,927.0,343.0,195.75,202.25,1635.0,265.25,341.75,134243.3333,0.00690537084570441,0.0025550617045055155,0.0014581729698453488,0.0015065925065196515,0.012179375763459234,0.0019758895542859706,0.0025457502551450724,1.492351828926708,1.2727872733576657,0.8502604960968472,0.2712562216110605,0.8279583719347029,0.5532402142549421,0.5253800220523249,0.029126213599465205,0.7865013402341337,False
Bradford,Yorkshire and The Humber,3873.75,322812.5,204.0,194.75,388.75,185.5,1386.5,294.5,1219.75,326686.25,0.0006244523606365435,0.0005961377315390531,0.001189979682340472,0.0005678231024415628,0.004244133323640037,0.0009014765696444218,0.003733704739639333,0.1349533056654372,0.29696211114324483,0.6938770200625014,0.10223437900111405,0.2885177192297066,0.2524093967975441,0.7705445082384164,0.011857707509881422,0.32019619772332264,False
Brecon,Wales,230.5,10477.27273,5.75,20.75,25.75,32.5,43.25,73.5,0.0,10707.77273,0.0005369930932405958,0.001937844640824759,0.0024047951566861466,0.00303517835309902,0.0040391219622010035,0.006864172583162399,0.0,0.11605207638010137,0.9653246308051289,1.402235787673472,0.5464722600268571,0.2745809726885219,1.9219375406658217,0.0,0.021526418781209974,0.5812824644729563,False
Bridgend,Wales,659.25,38779.41176,29.25,54.0,75.75,118.75,306.0,49.75,25.75,39438.66176,0.0007416580252645976,0.0013692148158731031,0.0019207041167108808,0.0030110048034246483,0.007758883956614252,0.0012614525386979052,0.0006529126205320816,0.16028316728714193,0.6820654033767517,1.1199623562512298,0.542119904815198,0.5274517391952149,0.3532010538078205,0.1347450506113525,0.01671583087711747,0.45138113620856646,False
Bridgwater,South West,326.25,25096.15385,37.75,15.25,32.75,44.0,160.75,29.5,6.25,25422.40385,0.001484910719801975,0.0005998645954166919,0.001288233803271912,0.0017307568654645537,0.006323162866441523,0.0011603938075273712,0.00024584614566257866,0.32091096597192226,0.2988186240034355,0.7511689870200196,0.3116161575354242,0.42985089991918746,0.32490506228145055,0.05073657683766949,0.012833168803586606,0.34653678649314945,False
