LSOA code,March,Dec
E01011949,"81,500","68,420"
E01011950,"56,750","45,000"
E01011951,"55,000","59,500"
E01011952,"106,945",:
E01011953,"50,000","57,750"
E01011954,"79,000","76,000"
E01011955,"65,000","65,000"
E01011957,"62,553","75,000"
E01011959,"355,000","300,000"
E01011960,"127,975","125,000"
E01011961,"88,000","120,000"
E01011962,"91,250",:
E01011963,"128,000","120,000"
E01011964,"162,500","101,000"
E01011965,"175,000","191,000"
E01011966,"119,950","125,000"
E01011967,"132,000","107,500"
E01011968,"124,950","117,000"
E01011969,"126,000","110,000"
E01011970,"120,000","124,000"
E01011971,"140,000","150,000"
E01011973,"45,000","33,000"
E01011974,"152,750","105,000"
E01011975,"98,950","89,950"
E01011976,"55,537","70,000"
E01011977,"71,750","65,000"
E01011978,"54,000","55,000"
E01011979,"75,000","68,000"
E01011980,"99,995","92,500"
E01011981,"85,750","70,000"
E01011982,"301,000","238,750"
E01011983,"175,000","275,000"
E01011984,"117,500","105,000"
E01011985,"120,000","110,000"
E01011986,"92,000","108,500"
E01011987,"95,000","62,000"
E01011988,"114,000","105,500"
E01011989,"107,500","80,000"
E01011990,"80,000","97,975"
E01011991,"95,920","95,420"
E01011992,"99,995","79,950"
E01011993,"87,500","82,000"
E01011994,:,:
E01011995,"150,000","144,750"
E01011996,"110,000","90,000"
E01011997,"130,000","140,000"
E01011998,"127,000","138,000"
E01011999,"65,500","55,500"
E01012000,:,:
E01012001,"62,000","64,000"
E01012002,"102,500","95,000"
E01012003,"150,000","159,475"
E01012005,"199,000","170,000"
E01032540,"82,500","115,000"
E01032541,"95,000","88,650"
E01033465,"170,000","185,725"
E01033466,"104,995","72,000"
E01033467,"130,000","157,450"
E01012007,"120,000","95,400"
E01012008,"128,500","123,500"
E01012009,"119,500","115,000"
E01012010,"156,000","159,000"
E01012011,"79,661","80,000"
E01012012,"110,000","110,000"
E01012013,"90,000","75,750"
E01012014,"68,250","91,500"
E01012015,:,"66,250"
E01012016,:,"66,000"
E01012017,"100,000","80,000"
E01012018,"87,375","81,250"
E01012019,:,:
E01012020,"70,000","76,000"
E01012021,"71,750","65,000"
E01012022,"116,250","135,000"
E01012023,"155,000","125,000"
E01012024,"120,000","111,625"
E01012025,"112,500","113,750"
E01012026,"96,000","84,250"
E01012027,"144,950","153,225"
E01012030,"138,000","135,000"
E01012031,"123,250","102,500"
E01012032,"192,500","170,500"
E01012033,"93,500","99,175"
E01012034,"210,000","194,975"
E01012035,"109,000","110,000"
E01012036,"51,500","54,500"
E01012037,"52,500","52,000"
E01012038,"61,250","67,500"
E01012039,"53,500","63,250"
E01012040,"57,500","60,000"
E01012041,"68,000",:
E01012042,"110,000","105,000"
E01012043,"119,000","109,775"
E01012044,:,:
E01012045,"60,000",:
E01012046,"126,000","124,000"
E01012047,"138,000","125,000"
E01012048,"130,000","131,000"
E01012049,"130,950","122,475"
E01012050,:,"66,000"
E01012051,"100,000","85,000"
E01012052,"143,500","138,500"
E01012053,"125,000","168,000"
E01012054,"95,000","107,500"
E01012055,"176,975","115,000"
E01012056,"110,500","107,500"
E01012057,"135,000","108,000"
E01012058,"45,000","35,000"
E01012059,"94,995","87,995"
E01012060,:,"64,500"
E01012061,"68,000","53,250"
E01012062,"140,000","135,000"
E01012063,"145,000","137,500"
E01012064,"147,000","133,500"
E01012065,"205,000","195,000"
E01012066,"175,000","188,000"
E01012067,"153,500","156,000"
E01012068,"45,500","50,750"
E01012071,"250,000",:
E01012073,"151,000","153,000"
E01012074,"72,475","72,250"
E01012075,"62,000","59,750"
E01012076,"53,000","48,125"
E01012077,"74,500",:
E01012078,"72,000","74,250"
E01012079,"99,975","105,000"
E01012080,"93,500","93,000"
E01012081,"156,000","159,950"
E01012082,"80,000","80,250"
E01012083,"63,000","69,200"
E01012084,"75,000","60,000"
E01012085,"60,000","62,500"
E01012088,"55,000","57,000"
E01012089,:,"58,000"
E01012090,"58,000","64,950"
E01012091,"51,500",:
E01012092,"91,000","68,390"
E01012093,"54,750","62,000"
E01012094,"84,000","110,000"
E01032552,"150,000","144,500"
E01032553,"138,000","127,250"
E01032593,"236,000","325,000"
E01033468,"59,500","56,750"
E01033469,"68,750","72,000"
