,Region / Nation,Advertising and marketing: Employment 2011-2014,All creative industries: Employment 2011-2014,Architecture: Employment 2011-2014,"Design: product, graphic and fashion design: Employment 2011-2014","Film, TV, video, radio and photography: Employment 2011-2014","IT, software and computer services: Employment 2011-2014","Music, performing and visual arts: Employment 2011-2014",Publishing: Employment 2011-2014,not_creative: Employment 2011-2014,Advertising and marketing: Employment 2015-2016,All creative industries: Employment 2015-2016,Architecture: Employment 2015-2016,"Design: product, graphic and fashion design: Employment 2015-2016","Film, TV, video, radio and photography: Employment 2015-2016","IT, software and computer services: Employment 2015-2016","Music, performing and visual arts: Employment 2015-2016",Publishing: Employment 2015-2016,not_creative: Employment 2015-2016,Advertising and marketing: Change in employment (%),All creative industries: Change in employment (%),Architecture: Change in employment (%),"Design: product, graphic and fashion design: Change in employment (%)","Film, TV, video, radio and photography: Change in employment (%)","IT, software and computer services: Change in employment (%)","Music, performing and visual arts: Change in employment (%)",Publishing: Change in employment (%),not_creative: Change in employment (%),Advertising and marketing: Number of businesses 2011-2014,All creative industries: Number of businesses 2011-2014,Architecture: Number of businesses 2011-2014,"Design: product, graphic and fashion design: Number of businesses 2011-2014","Film, TV, video, radio and photography: Number of businesses 2011-2014","IT, software and computer services: Number of businesses 2011-2014","Music, performing and visual arts: Number of businesses 2011-2014",Publishing: Number of businesses 2011-2014,not_creative: Number of businesses 2011-2014,Advertising and marketing: Number of businesses 2015-2016,All creative industries: Number of businesses 2015-2016,Architecture: Number of businesses 2015-2016,"Design: product, graphic and fashion design: Number of businesses 2015-2016","Film, TV, video, radio and photography: Number of businesses 2015-2016","IT, software and computer services: Number of businesses 2015-2016","Music, performing and visual arts: Number of businesses 2015-2016",Publishing: Number of businesses 2015-2016,not_creative: Number of businesses 2015-2016,Advertising and marketing: Change in businesses (%),All creative industries: Change in businesses (%),Architecture: Change in businesses (%),"Design: product, graphic and fashion design: Change in businesses (%)","Film, TV, video, radio and photography: Change in businesses (%)","IT, software and computer services: Change in businesses (%)","Music, performing and visual arts: Change in businesses (%)",Publishing: Change in businesses (%),not_creative: Change in businesses (%),Advertising and marketing: Change in employment (total),All creative industries: Change in employment (total),Architecture: Change in employment (total),"Design: product, graphic and fashion design: Change in employment (total)","Film, TV, video, radio and photography: Change in employment (total)","IT, software and computer services: Change in employment (total)","Music, performing and visual arts: Change in employment (total)",Publishing: Change in employment (total),not_creative: Change in employment (total),Advertising and marketing: Change in number of businesses (total),All creative industries: Change in number of businesses (total),Architecture: Change in number of businesses (total),"Design: product, graphic and fashion design: Change in number of businesses (total)","Film, TV, video, radio and photography: Change in number of businesses (total)","IT, software and computer services: Change in number of businesses (total)","Music, performing and visual arts: Change in number of businesses (total)",Publishing: Change in number of businesses (total),not_creative: Change in number of businesses (total),Creative GVA 2015-2016 (Million £),Creative GVA 2015-2016 (% of total)
Aberdeen,Scotland,187,3652.25,596.25,210.75,242.5,1368.25,514.75,532.75,214838.2353,190,3635,495,205,205,1600,590,350,223935,1.6,-0.47,-16.98,-2.73,-15.46,16.94,14.62,-34.3,4.23,58,1155,191,103,84,519,154,47,26250,65,1247.5,182.5,110,82.5,605,155,47.5,30140,12.07,8.01,-4.45,6.8,-1.79,16.57,0.65,1.06,14.82,3,-17.25,-101.25,-5.75,-37.5,231.75,75.25,-182.75,9096.764706,7,92.5,-8.5,7,-1.5,86,1,0.5,3890,111.54,1.79
Aberystwyth,Wales,30.5,376,29.5,8.25,21.5,96.25,63.25,126.75,19789.47368,,395,,,,,,,20090,,5.05,,,,,,,1.52,9,117,11,6,15,36,21,20,3078.947368,,120,,,,,,,3075,,2.56,,,,,,,-0.13,,19,,,,,,,300.5263158,,3,,,,,,,-3.947368421,3.8,0.76
Alness and Invergordon,Scotland,5,79.5,15.5,,5.75,17.5,11.75,,6115.384615,,90,,,,,,,6025,,13.21,,,,,,,-1.48,3,29,8,,3,9,4,,966.6666667,,32.5,,,,,,,985,,12.07,,,,,,,1.9,,10.5,,,,,,,-90.38461538,,3.5,,,,,,,18.33333333,1.29,0.59
Andover,South East,76.25,975.25,31.75,78,92.25,352,61.75,283.25,27864.28571,95,1020,,110,50,415,80,255,27035,24.59,4.59,,41.03,-45.8,17.9,29.55,-9.97,-2.98,29,331,13,29,27,187,36,12,3804.597701,30,390,,37.5,22.5,230,45,15,4337.5,3.45,17.82,,29.31,-16.67,22.99,25,25,14.01,18.75,44.75,,32,-42.25,63,18.25,-28.25,-829.2857143,1,59,,8.5,-4.5,43,9,3,532.9022989,28.86,2.37
Arbroath and Montrose,Scotland,9,98,27.75,10.25,12.75,31,2.75,4.5,12250,,110,,,,,,,12570,,12.24,,,,,,,2.61,3,44,9,6,5,16,3,3,1375,,47.5,,,,,,,1387.5,,7.95,,,,,,,0.91,,12,,,,,,,320,,3.5,,,,,,,12.5,2.23,0.54
Ashford,South East,103.75,1467.75,67.75,84,74.5,901.75,141.75,94.25,41935.71429,140,1700,70,95,95,1090,140,80,48090,34.94,15.82,3.32,13.1,27.52,20.88,-1.23,-15.12,14.68,54,459,32,40,36,212,60,25,5884.615385,57.5,527.5,35,50,50,257.5,52.5,25,6492.5,6.48,14.92,9.38,25,38.89,21.46,-12.5,0,10.33,36.25,232.25,2.25,11,20.5,188.25,-1.75,-14.25,6154.285714,3.5,68.5,3,10,14,45.5,-7.5,0,607.8846154,60.33,3.38
Aviemore and Grantown-on-Spey,Scotland,6.25,45,,,6.75,14.5,5.5,,4090.909091,,50,,,,,,,4430,,11.11,,,,,,,8.29,4,24,,,6,8,3,,750,,25,,,,,,,747.5,,4.17,,,,,,,-0.33,,5,,,,,,,339.0909091,,1,,,,,,,-2.5,0.59,0.35
Ayr,Scotland,39.5,470.5,93.5,34.25,24.25,144.75,110.5,23.75,42772.72727,40,425,85,,20,150,85,,45040,1.27,-9.67,-9.09,,-17.53,3.63,-23.08,,5.3,14,177,17,15,14,80,28,10,4022.727273,17.5,187.5,17.5,,15,82.5,32.5,,4265,25,5.93,2.94,,7.14,3.12,16.07,,6.02,0.5,-45.5,-8.5,,-4.25,5.25,-25.5,,2267.272727,3.5,10.5,0.5,,1,2.5,4.5,,242.2727273,9.16,0.67
Ballymena,Northern Ireland,13.75,158,35,8.25,37.75,44.5,13,5.75,26333.33333,,170,,,,,,,29410,,7.59,,,,,,,11.68,6,69,10,5,10,27,8,4,4058.823529,,75,,,,,,,4132.5,,8.7,,,,,,,1.82,,12,,,,,,,3076.666667,,6,,,,,,,73.67647059,,
Banbury,South East,199.25,1745.5,137.75,134.5,198.5,885.25,139,51.25,37945.65217,140,1570,150,200,200,695,140,45,42090,-29.74,-10.05,8.89,48.7,0.76,-21.49,0.72,-12.2,10.92,63,536,34,50,54,242,74,18,6232.55814,70,595,40,57.5,55,270,80,22.5,6592.5,11.11,11.01,17.65,15,1.85,11.57,8.11,25,5.78,-59.25,-175.5,12.25,65.5,1.5,-190.25,1,-6.25,4144.347826,7,59,6,7.5,1,28,6,4.5,359.9418605,76.29,4.07
