ball,variable,n_ttwas,mean,std,min,median,max
0,pct_owned,70,67.54,3.38,57.91,68.18,76.46
0,pct_private_rented,70,15.38,2.48,10.88,15.07,22.08
0,pct_higher_managerial,70,8.25,1.64,5.02,8.02,12.57
0,pct_routine,70,12.59,2.13,8.31,11.94,17.98
0,pct_no_quals,70,25.07,3.53,19.31,24.68,35.24
0,pct_level4_plus,70,23.55,3.59,14.57,23.65,29.38
0,pct_self_employed,70,15.87,5.05,9.49,14.52,31.97
0,pct_econ_inactive,70,31.8,3.26,25.36,31.32,40.99
0,pop_density,70,3.54,4.14,0.19,1.76,16.65
0,log_pop_density,70,1.22,0.73,0.17,1.01,2.87
0,urban_rural_score,70,3.45,0.81,1.15,3.59,4.78
0,pct_urban,70,58.98,26.68,0.0,62.75,98.82
0,median_house_price,70,150090.14,31379.76,78450.0,145373.75,239000.0
1,pct_owned,9,68.31,4.27,63.76,66.57,76.46
1,pct_private_rented,9,14.74,2.09,11.45,15.06,18.68
1,pct_higher_managerial,9,10.57,3.48,5.02,9.67,16.12
1,pct_routine,9,11.69,2.7,8.29,11.2,15.36
1,pct_no_quals,9,23.29,5.47,16.33,23.8,35.24
1,pct_level4_plus,9,26.13,5.37,16.4,25.11,33.72
1,pct_self_employed,9,15.31,4.21,12.03,14.11,25.55
1,pct_econ_inactive,9,31.17,5.58,23.73,31.05,40.99
1,pop_density,9,3.22,2.87,0.91,2.18,9.96
1,log_pop_density,9,1.29,0.55,0.64,1.16,2.39
1,urban_rural_score,9,3.37,0.75,1.47,3.51,4.05
1,pct_urban,9,62.55,19.09,23.65,61.72,88.68
1,median_house_price,9,177105.61,51028.48,120950.0,161875.0,239000.0
2,pct_owned,84,67.72,3.62,57.91,68.24,76.46
2,pct_private_rented,84,15.35,2.43,10.35,15.07,21.85
2,pct_higher_managerial,84,9.24,1.89,5.75,9.21,14.11
2,pct_routine,84,11.98,2.05,7.22,11.65,17.98
2,pct_no_quals,84,23.9,3.43,16.7,23.56,32.46
2,pct_level4_plus,84,24.7,3.75,14.57,25.24,33.07
2,pct_self_employed,84,15.23,4.32,9.35,14.12,31.97
2,pct_econ_inactive,84,30.52,2.94,24.46,30.21,37.03
2,pop_density,84,4.61,4.26,0.33,3.34,19.29
2,log_pop_density,84,1.47,0.7,0.29,1.47,3.01
2,urban_rural_score,84,3.29,0.79,1.13,3.37,4.78
2,pct_urban,84,67.0,24.81,0.0,75.04,98.82
2,median_house_price,84,159256.86,36755.95,84500.0,159987.5,250000.0
3,pct_owned,3,68.45,3.94,64.08,69.53,71.73
3,pct_private_rented,3,15.72,2.53,13.36,15.42,18.39
3,pct_higher_managerial,3,13.21,1.98,11.77,12.39,15.46
3,pct_routine,3,9.57,1.98,7.35,10.22,11.15
3,pct_no_quals,3,18.77,1.77,16.73,19.71,19.86
3,pct_level4_plus,3,31.42,3.36,28.51,30.65,35.1
3,pct_self_employed,3,15.2,2.36,12.56,15.95,17.09
3,pct_econ_inactive,3,26.41,1.5,24.95,26.32,27.95
3,pop_density,3,5.02,3.26,1.62,5.3,8.13
3,log_pop_density,3,1.67,0.64,0.96,1.84,2.21
3,urban_rural_score,3,3.4,0.31,3.15,3.3,3.75
3,pct_urban,3,74.57,18.1,55.22,77.41,91.08
3,median_house_price,3,216500.0,53518.69,170000.0,204500.0,275000.0
4,pct_owned,9,67.77,3.09,62.94,67.39,72.93
4,pct_private_rented,9,14.19,2.61,9.66,15.06,17.03
4,pct_higher_managerial,9,8.7,1.25,6.64,9.34,10.23
4,pct_routine,9,12.56,1.57,10.32,12.34,15.86
4,pct_no_quals,9,24.65,1.96,21.26,24.92,27.29
4,pct_level4_plus,9,25.04,1.49,22.39,25.09,26.97
4,pct_self_employed,9,15.77,5.73,10.69,14.29,29.57
4,pct_econ_inactive,9,31.91,3.2,25.67,32.83,35.43
4,pop_density,9,3.29,3.62,0.66,1.56,9.66
4,log_pop_density,9,1.2,0.72,0.51,0.94,2.37
4,urban_rural_score,9,3.64,0.68,2.26,3.83,4.66
4,pct_urban,9,52.07,29.94,0.0,49.35,88.93
4,median_house_price,9,148779.06,36570.84,116637.5,136250.0,233000.0
5,pct_owned,1,68.45,,68.45,68.45,68.45
5,pct_private_rented,1,18.35,,18.35,18.35,18.35
5,pct_higher_managerial,1,7.2,,7.2,7.2,7.2
5,pct_routine,1,12.21,,12.21,12.21,12.21
5,pct_no_quals,1,24.29,,24.29,24.29,24.29
5,pct_level4_plus,1,22.7,,22.7,22.7,22.7
5,pct_self_employed,1,20.87,,20.87,20.87,20.87
5,pct_econ_inactive,1,30.2,,30.2,30.2,30.2
5,pop_density,1,0.86,,0.86,0.86,0.86
5,log_pop_density,1,0.62,,0.62,0.62,0.62
5,urban_rural_score,1,3.84,,3.84,3.84,3.84
5,pct_urban,1,45.39,,45.39,45.39,45.39
5,median_house_price,1,184750.0,,184750.0,184750.0,184750.0
6,pct_owned,8,67.5,2.94,64.44,66.32,73.67
6,pct_private_rented,8,15.64,1.13,14.18,15.62,17.82
6,pct_higher_managerial,8,10.22,2.67,6.95,9.51,15.19
6,pct_routine,8,11.57,2.26,8.67,11.43,14.89
6,pct_no_quals,8,22.76,3.23,17.12,23.87,25.58
6,pct_level4_plus,8,26.77,4.61,22.64,24.66,34.37
6,pct_self_employed,8,15.63,3.91,12.03,14.73,24.11
6,pct_econ_inactive,8,31.51,2.47,26.76,31.44,35.48
6,pop_density,8,3.73,2.94,0.53,2.83,9.96
6,log_pop_density,8,1.4,0.59,0.43,1.34,2.39
6,urban_rural_score,8,3.26,0.75,1.47,3.46,3.87
6,pct_urban,8,67.46,15.4,39.25,67.03,88.68
6,median_house_price,8,175181.31,45475.29,120950.0,168437.5,233000.0
7,pct_owned,11,66.91,4.17,59.14,67.65,72.51
7,pct_private_rented,11,16.06,2.9,12.13,15.59,21.18
7,pct_higher_managerial,11,9.08,2.25,5.77,8.45,12.69
7,pct_routine,11,12.37,4.09,8.33,11.17,22.31
7,pct_no_quals,11,24.33,3.8,18.94,23.85,30.13
7,pct_level4_plus,11,24.18,4.65,15.22,25.73,30.96
7,pct_self_employed,11,14.32,3.69,8.38,13.68,22.97
7,pct_econ_inactive,11,31.04,3.07,26.1,31.89,34.84
7,pop_density,11,6.13,4.33,1.0,4.96,13.43
7,log_pop_density,11,1.77,0.69,0.69,1.78,2.67
7,urban_rural_score,11,3.19,0.74,1.36,3.16,4.46
7,pct_urban,11,76.31,28.74,0.0,88.69,94.94
7,median_house_price,11,151326.05,46328.89,99375.0,135500.0,222375.0
8,pct_owned,23,68.43,3.0,62.75,69.35,73.72
8,pct_private_rented,23,16.34,2.61,11.34,15.78,21.85
8,pct_higher_managerial,23,8.67,1.72,4.58,9.08,12.15
8,pct_routine,23,11.43,1.57,8.69,11.75,15.12
8,pct_no_quals,23,24.03,3.31,18.92,22.91,33.56
8,pct_level4_plus,23,25.89,4.08,16.66,26.31,33.44
8,pct_self_employed,23,19.76,5.07,10.69,19.3,31.97
8,pct_econ_inactive,23,32.01,3.72,25.67,31.33,40.66
8,pop_density,23,2.18,2.44,0.19,1.2,9.31
8,log_pop_density,23,0.94,0.63,0.18,0.79,2.33
8,urban_rural_score,23,3.84,0.51,3.14,3.86,4.78
8,pct_urban,23,47.17,30.81,0.0,48.47,88.0
8,median_house_price,23,169763.54,29175.24,118000.0,168250.0,228000.0
9,pct_owned,2,69.42,2.54,67.63,69.42,71.22
9,pct_private_rented,2,15.18,4.12,12.27,15.18,18.1
9,pct_higher_managerial,2,8.69,0.66,8.22,8.69,9.16
9,pct_routine,2,9.92,0.44,9.61,9.92,10.23
9,pct_no_quals,2,20.62,2.38,18.94,20.62,22.3
9,pct_level4_plus,2,27.86,0.11,27.78,27.86,27.94
9,pct_self_employed,2,23.3,5.95,19.1,23.3,27.51
9,pct_econ_inactive,2,34.7,0.05,34.67,34.7,34.74
9,pop_density,2,1.48,0.71,0.98,1.48,1.98
9,log_pop_density,2,0.89,0.29,0.68,0.89,1.09
9,urban_rural_score,2,3.81,0.27,3.61,3.81,4.0
9,pct_urban,2,52.87,15.21,42.12,52.87,63.62
9,median_house_price,2,220000.0,30405.59,198500.0,220000.0,241500.0
10,pct_owned,1,56.44,,56.44,56.44,56.44
10,pct_private_rented,1,27.05,,27.05,27.05,27.05
10,pct_higher_managerial,1,11.81,,11.81,11.81,11.81
