ball,component_status,is_isolate,n_ttwas,dominant_sector,dominant_LQ,second_sector,second_LQ,dominance_gap,Advertising_LQ,Architecture_LQ,Design_LQ,Film_TV_LQ,IT_Software_LQ,Music_Arts_LQ,Publishing_LQ,ttwas,pct_owned_mean,pct_private_rented_mean,pct_higher_managerial_mean,pct_routine_mean,pct_no_quals_mean,pct_level4_plus_mean,pct_self_employed_mean,pct_econ_inactive_mean,pop_density_mean,log_pop_density_mean,urban_rural_score_mean,pct_urban_mean,median_house_price_mean
0,Principal component,FALSE,70,Architecture,0.75,Design,0.67,0.09,0.34,0.75,0.67,0.21,0.44,0.61,0.49,Aberystwyth; Barnsley; Berwick; Bideford; Birkenhead; Birmingham; Boston; Bradford; Bury St Edmunds; Cardigan; Carlisle; Chester; Colwyn Bay; Coventry; Cromer and Sheringham; Dorchester and Weymouth; Durham and Bishop Auckland; Evesham; Exeter; Folkestone and Dover; Gloucester; Grantham; Haverfordwest and Milford Haven; Hereford; Hull; Huntingdon; Isle of Wight; Kettering and Wellingborough; King's Lynn; Lancaster and Morecambe; Launceston; Leicester; Lincoln; Liverpool; Lowestoft; Ludlow; Medway; Merthyr Tydfil; Minehead; Newcastle; Newtown and Welshpool; Northallerton; Oswestry; Portsmouth; Preston; Pwllheli and Porthmadog; Scunthorpe; Sheffield; Shrewsbury; Sidmouth; Skegness and Louth; Spalding; St Austell and Newquay; Stafford; Swansea; Taunton; Telford; Thetford and Mildenhall; Torquay and Paignton; Trowbridge; Tywyn and Dolgellau; Warrington and Wigan; Weston-super-Mare; Whitby; Wisbech; Wolverhampton and Walsall; Worcester and Kidderminster; Worksop and Retford; Wrexham; Yeovil,67.54,15.38,8.25,12.59,25.07,23.55,15.87,31.8,3.54,1.22,3.45,58.98,150090.14
1,Principal component,FALSE,9,Publishing,2.01,Design,1.07,0.93,0.48,0.88,1.07,0.3,0.72,0.69,2.01,Andover; Barrow-in-Furness; Basingstoke; Cambridge; Huddersfield; Leicester; Norwich; Sidmouth; Skegness and Louth,68.31,14.74,10.57,11.69,23.29,26.13,15.31,31.17,3.22,1.29,3.37,62.55,177105.61
2,Principal component,FALSE,84,Design,0.86,Architecture,0.8,0.06,0.45,0.8,0.86,0.3,0.66,0.7,0.36,Ashford; Barnsley; Bedford; Birkenhead; Birmingham; Blackburn; Blandford Forum and Gillingham; Blyth and Ashington; Bridgend; Bridgwater; Bristol; Burnley; Burton upon Trent; Bury St Edmunds; Buxton; Cardiff; Cardigan; Chelmsford; Cinderford and Ross-on-Wye; Coventry; Crawley; Crewe; Derby; Dudley; Eastbourne; Evesham; Exeter; Folkestone and Dover; Gloucester; Grantham; Halifax; Hastings; Hereford; Hull; Huntingdon; Isle of Wight; Kendal; Kettering and Wellingborough; King's Lynn; Lancaster and Morecambe; Launceston; Leeds; Lincoln; Liverpool; Lowestoft; Ludlow; Luton; Malton; Margate and Ramsgate; Medway; Middlesbrough and Stockton; Milton Keynes; Newcastle; Newtown and Welshpool; Northampton; Nottingham; Oswestry; Poole; Portsmouth; Preston; Pwllheli and Porthmadog; Redruth and Truro; Salisbury; Sheffield; Shrewsbury; Sidmouth; Southend; St Austell and Newquay; Stevenage and Welwyn Garden City; Stoke-on-Trent; Street and Wells; Swindon; Telford; Thetford and Mildenhall; Torquay and Paignton; Trowbridge; Warrington and Wigan; Weston-super-Mare; Wisbech; Wolverhampton and Walsall; Worcester and Kidderminster; Worthing; Yeovil; York,67.72,15.35,9.24,11.98,23.9,24.7,15.23,30.52,4.61,1.47,3.29,67,159256.86
3,Principal component,FALSE,3,IT_Software,1.53,Design,1.47,0.06,1.02,1.17,1.47,0.89,1.53,1.08,0.5,Banbury; Bristol; High Wycombe and Aylesbury,68.45,15.72,13.21,9.57,18.77,31.42,15.2,26.41,5.02,1.67,3.4,74.57,216500
4,Principal component,FALSE,9,Film_TV,0.94,Design,0.83,0.11,0.29,0.75,0.83,0.94,0.45,0.82,0.3,Bangor and Holyhead; Cardiff; Cinderford and Ross-on-Wye; Ipswich; Llanelli; Northampton; Nottingham; Wadebridge; Workington,67.77,14.19,8.7,12.56,24.65,25.04,15.77,31.91,3.29,1.2,3.64,52.07,148779.06
5,Disconnected,TRUE,1,Advertising,3.08,Music_Arts,1.34,1.74,3.08,0.91,0.78,0.23,0.27,1.34,0.17,Barnstaple,68.45,18.35,7.2,12.21,24.29,22.7,20.87,30.2,0.86,0.62,3.84,45.39,184750
6,Principal component,FALSE,8,Publishing,2.09,Architecture,1.18,0.9,0.47,1.18,1.16,0.27,0.59,0.85,2.09,Barrow-in-Furness; Bath; Cambridge; Chichester and Bognor Regis; Huddersfield; Leicester; Minehead; Norwich,67.5,15.64,10.22,11.57,22.76,26.77,15.63,31.51,3.73,1.4,3.26,67.46,175181.31
7,Principal component,FALSE,11,Advertising,1.03,Design,0.75,0.28,1.03,0.63,0.75,0.22,0.58,0.53,0.36,Blackburn; Blackpool; Bournemouth; Corby; Leeds; Liskeard; Rhyl; Stevenage and Welwyn Garden City; Stoke-on-Trent; Worthing; York,66.91,16.06,9.08,12.37,24.33,24.18,14.32,31.04,6.13,1.77,3.19,76.31,151326.05
8,Principal component,FALSE,23,Music_Arts,1.31,Design,1.14,0.18,0.36,0.96,1.14,0.44,0.43,1.31,0.32,Blandford Forum and Gillingham; Brecon; Bridlington; Buxton; Cardiff; Cardigan; Cinderford and Ross-on-Wye; Cromer and Sheringham; Eastbourne; Hastings; Hexham; Kendal; Lowestoft; Ludlow; Malton; Margate and Ramsgate; Northampton; Penrith; Plymouth; Pwllheli and Porthmadog; Redruth and Truro; Scarborough; Street and Wells,68.43,16.34,8.67,11.43,24.03,25.89,19.76,32.01,2.18,0.94,3.84,47.17,169763.54
9,Disconnected,TRUE,2,Design,2.67,Music_Arts,1.34,1.33,0.42,0.73,2.67,0.81,0.28,1.34,0.34,Bridport; Falmouth,69.42,15.18,8.69,9.92,20.62,27.86,23.3,34.7,1.48,0.89,3.81,52.87,220000
10,Disconnected,TRUE,1,Music_Arts,3.11,Design,2.26,0.85,1.31,1.44,2.26,1.13,1.43,3.11,0.53,Brighton,56.44,27.05,11.81,7.12,17.42,35.46,18.12,28.53,13.12,2.65,3.03,98.13,226625
